,REPORT,CATEGORY
370,diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing . ,0
371,not at all clear what it's trying to say and even if it were  i doubt it would be all that interesting . ,0
372,storytelling feels slight . ,0
373,"[swimfan] falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting . ",0
374,this remake of lina wertmuller's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since john and bo derek made the ridiculous bolero . ,0
375,"silly , loud and goofy . ",0
376,why spend $9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ? ,0
377,"the french director has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing . ",0
378,the basic premise is intriguing but quickly becomes distasteful and downright creepy . ,0
379,the pool drowned me in boredom . ,0
380,it's like an all-star salute to disney's cheesy commercialism . ,0
381,"it's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one . ",0
382,"some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity . ",0
383,"there's an excellent 90-minute film here ; unfortunately , it runs for 170 . ",0
384,"as saccharine movies go , this is likely to cause massive cardiac arrest if taken in large doses . ",0
385,"die another day is only intermittently entertaining but it's hard not to be a sucker for its charms , or perhaps it's just impossible not to feel nostalgia for movies you grew up with . ",0
386,"as is often the case with ambitious , eager first-time filmmakers , mr . murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold . ",0
387,"the mystery of enigma is how a rich historical subject , combined with so much first-rate talent . . . could have yielded such a flat , plodding picture . ",0
388,"it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , "" look at this ! this is an interesting movie ! "" but the film itself is ultimately quite unengaging . ",0
389,the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror/action hybrid . ,0
390,bad company . bad movie . just plain bad . ,0
391,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed . ",0
392,avary's film never quite emerges from the shadow of ellis' book . ,0
393,"a poorly scripted , preachy fable that forgets about unfolding a coherent , believable story in its zeal to spread propaganda . ",0
394,"while it is interesting to witness the conflict from the palestinian side , longley's film lacks balance . . . and fails to put the struggle into meaningful historical context . ",0
395,"woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the "" saving private ryan "" battle scenes before realizing steven spielberg got it right the first time ? ",0
396,"it's sincere to a fault , but , unfortunately , not very compelling or much fun . ",0
397," . . . jones , despite a definitely distinctive screen presence , just isn't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts . ",0
398,this follow-up seems so similar to the 1953 disney classic that it makes one long for a geriatric peter . ,0
399,"why , you may ask , why should you buy the movie milk when the tv cow is free ? there's no good answer to that one . ",0
400,"this slow-moving swedish film offers not even a hint of joy , preferring to focus on the humiliation of martin as he defecates in bed and urinates on the plants at his own birthday party . ",0
401,"a muddled limp biscuit of a movie , a vampire soap opera that doesn't make much sense even on its own terms . ",0
402,"there's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream . ",0
403,this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action . ,0
404,this is amusing for about three minutes . ,0
405,"klein , charming in comedies like american pie and dead-on in election , delivers one of the saddest action hero performances ever witnessed . ",0
406,"it's rare to see a movie that takes such a speedy swan dive from "" promising "" to "" interesting "" to "" familiar "" before landing squarely on "" stupid "" . ",0
407,"this is the sort of low-grade dreck that usually goes straight to video --with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes . ",0
408,"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why . ",0
409,there are few things more frustrating to a film buff than seeing an otherwise good movie marred beyond redemption by a disastrous ending . ,0
410,"it won't harm anyone , but neither can i think of a very good reason to rush right out and see it . after all , it'll probably be in video stores by christmas , and it might just be better suited to a night in the living room than a night at the movies . ",0
411,looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights . ,0
412,"given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors' workshop that it is . ",0
413,they kept much of the plot but jettisoned the stuff that would make this a moving experience for people who haven't read the book . ,0
414,just because a walk to remember is shrewd enough to activate girlish tear ducts doesn't mean it's good enough for our girls . ,0
415,"[carvey's] characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark . ",0
416,"it's mildly interesting to ponder the peculiar american style of justice that plays out here , but it's so muddled and derivative that few will bother thinking it all through . ",0
417,this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension . ,0
418,"brown's saga , like many before his , makes for snappy prose but a stumblebum of a movie . ",0
419,"the boys' sparring , like the succession of blows dumped on guei , wears down the story's more cerebral , and likable , plot elements . ",0
420,the script by vincent r . nebrida . . . tries to cram too many ingredients into one small pot . ,0
421,"the story is so light and sugary that were it a macy's thanksgiving day parade balloon , extra heavy-duty ropes would be needed to keep it from floating away . ",0
422,"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between . ",0
423,"since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche . ",0
424,only those most addicted to film violence in all its forms will find anything here to appreciate . ,0
425,"cold and scattered , minority report commands interest almost solely as an exercise in gorgeous visuals . that's not vintage spielberg and that , finally , is minimally satisfying . ",0
426,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be . frank mcklusky c . i . is that movie ! ",0
427,it's not difficult to spot the culprit early-on in this predictable thriller . ,0
428,"[a] soulless , stupid sequel . . . ",0
429, . . . a mostly boring affair with a confusing sudden finale that's likely to irk viewers . ,0
430,the trappings of i spy are so familiar you might as well be watching a rerun . ,0
431,what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film . ,0
432,"in the wake of saving private ryan , black hawk down and we were soldiers , you are likely to be as heartily sick of mayhem as cage's war-weary marine . ",0
433,"it is messy , uncouth , incomprehensible , vicious and absurd . ",0
434,really does feel like a short stretched out to feature length . ,0
435,"hampered -- no , paralyzed -- by a self-indulgent script . . . that aims for poetry and ends up sounding like satire . ",0
436,"cheap , vulgar dialogue and a plot that crawls along at a snail's pace . ",0
437,"and if you appreciate the one-sided theme to lawrence's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified martin lawrence lovefest . if you are willing to do this , then you so crazy ! ",0
438,"directed without the expected flair or imagination by hong kong master john woo , windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length . ",0
439,it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere . ,0
440,"the movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story , minac drains his movie of all individuality . ",0
441,"an infuriating film . just when you think you are making sense of it , something happens that tells you there is no sense . ",0
442,the entire movie is so formulaic and forgettable that it's hardly over before it begins to fade from memory . ,0
443,"the setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions . ",0
444,"as an entertainment destination for the general public , kung pow sets a new benchmark for lameness . ",0
445,"this misty-eyed southern nostalgia piece , in treading the line between sappy and sanguine , winds up mired in tear-drenched quicksand . ",0
446,"as pure over-the-top trash , any john waters movie has it beat by a country mile . ",0
447,"wendigo wants to be a monster movie for the art-house crowd , but it falls into the trap of pretention almost every time . ",0
448,"bigelow offers some flashy twists and turns that occasionally fortify this turgid fable . but for the most part , the weight of water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness . ",0
449,this film biggest problem ? no laughs . ,0
450,less-than-compelling documentary of a yiddish theater clan . ,0
451,"that the chuck norris "" grenade gag "" occurs about 7 times during windtalkers is a good indication of how serious-minded the film is . ",0
452,"viewers are asked so often to suspend belief that were it not for holm's performance , the film would be a total washout . ",0
453,"it's not exactly worth the bucks to expend the full price for a date , but when it comes out on video , it's well worth a rental . ",0
454,"i can't begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents . . . ",0
455,"everybody loves a david and goliath story , and this one is told almost entirely from david's point of view . ",0
456,throw smoochy from the train ! ,0
457,"eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you don't care who fires the winning shot . ",0
458,irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free . ,0
459,"a light , engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation . ",0
460,cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle . ,0
461,"to paraphrase a line from another dickens' novel , nicholas nickleby is too much like a fragment of an underdone potato . ",0
462,"the actresses may have worked up a back story for the women they portray so convincingly , but viewers don't get enough of that background for the characters to be involving as individuals rather than types . ",0
463,"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today's hollywood . ",0
464,an extremely unpleasant film . ,0
465,"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again . ",0
466,a sincere but dramatically conflicted gay coming-of-age tale . ,0
467,wait for it to hit cable . ,0
468,ultimately feels like just one more in the long line of films this year about the business of making movies . ,0
469,a high-minded snoozer . ,0
470,"nothing but one relentlessly depressing situation after another for its entire running time , something that you could easily be dealing with right now in your lives . ",0
471,"77 minutes of pokemon may not last 4ever , it just seems like it does . my only wish is that celebi could take me back to a time before i saw this movie and i could just skip it . ",0
472,the one not-so-small problem with expecting is that the entire exercise has no real point . ,0
473,"a movie you observe , rather than one you enter into . ",0
474,[at least] moore is a real charmer . ,0
475,"john carlen's script is full of unhappy , two-dimensional characters who are anything but compelling . ",0
476,"labute can't avoid a fatal mistake in the modern era : he's changed the male academic from a lower-class brit to an american , a choice that upsets the novel's exquisite balance and shreds the fabric of the film . ",0
477,"the notion of deleting emotion from people , even in an advanced prozac nation , is so insanely dysfunctional that the rampantly designed equilibrium becomes a concept doofus . ",0
478,"stale first act , scrooge story , blatant product placement , some very good comedic songs , strong finish , dumb fart jokes . ",0
479,"unsurprisingly , the way this all works out makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes . ",0
480,a film that loses sight of its own story . ,0
481,adam sandler's eight crazy nights grows on you -- like a rash . ,0
482,the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison . ,0
483,"few of the increasingly far-fetched events that first-time writer-director neil burger follows up with are terribly convincing , which is a pity , considering barry's terrific performance . ",0
484,gets better after foster leaves that little room . ,0
485,the movie is as padded as allen's jelly belly . ,0
486,"resident evil isn't a product of its cinematic predecessors so much as an mtv , sugar hysteria , and playstation cocktail . ",0
487,a rather average action film that benefits from several funny moments supplied by epps . ,0
488," . . . unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted . ",0
489,resembles a soft porn brian de palma pastiche . ,0
490,"bluto blutarsky , we miss you . ",0
491,innocuous enough to make even jean-claude van damme look good . ,0
492,"it's a glorified sitcom , and a long , unfunny one at that . ",0
493,woody allen can write and deliver a one liner as well as anybody . but i had a lot of problems with this movie . ,0
494,execrable . ,0
495,devoid of any of the qualities that made the first film so special . ,0
496,"all movie long , city by the sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast . ",0
497,plotless collection of moronic stunts is by far the worst movie of the year . ,0
498,"however sincere it may be , the rising place never quite justifies its own existence . ",0
499,"parker updates the setting in an attempt to make the film relevant today , without fully understanding what it was that made the story relevant in the first place . ",0
500,it's sort of a 21st century morality play with a latino hip hop beat . but the second half of the movie really goes downhill . ,0
501,paxton's uneven directorial debut fails to unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre . ,0
502,the script becomes lifeless and falls apart like a cheap lawn chair . ,0
503,the script falls back on too many tried-and-true shenanigans that hardly distinguish it from the next teen comedy . ,0
504,"the film starts promisingly , but the ending is all too predictable and far too cliched to really work . ",0
505,"let's issue a moratorium , effective immediately , on treacly films about inspirational prep-school professors and the children they so heartwarmingly motivate . ",0
506,"it's the element of condescension , as the filmmakers look down on their working-class subjects from their lofty perch , that finally makes sex with strangers , which opens today in the new york metropolitan area , so distasteful . ",0
507,alternately frustrating and rewarding . ,0
508,it's impossible to even categorize this as a smutty guilty pleasure . ,0
509,"despite suffering a sense-of-humour failure , the man who wrote rocky does not deserve to go down with a ship as leaky as this . ",0
510,"swinging , the film makes it seem , is not a hobby that attracts the young and fit . or intelligent . ",0
511,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration . ",0
512,"see clockstoppers if you have nothing better to do with 94 minutes . but be warned , you too may feel time has decided to stand still . or that the battery on your watch has died . ",0
513,suffers from over-familiarity since hit-hungry british filmmakers have strip-mined the monty formula mercilessly since 1997 . ,0
514,there are enough throwaway references to faith and rainbows to plant smile-button faces on that segment of the populace that made a walk to remember a niche hit . ,0
515,"yes , i have given this movie a rating of zero . but fans of the show should not consider this a diss . consider it 'perfection . '",0
516,the cumulative effect of the movie is repulsive and depressing . ,0
517,children and adults enamored of all things pokemon won't be disappointed . ,0
518,i don't even care that there's no plot in this antonio banderas-lucy liu faceoff . it's still terrible ! ,0
519,"children of the century , though well dressed and well made , ultimately falls prey to the contradiction that afflicts so many movies about writers . ",0
520,it's not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent poster-boy lil' bow wow . ,0
521,"peralta's mythmaking could have used some informed , adult hindsight . ",0
522,amazingly dopey . ,0
523,a close-to-solid espionage thriller with the misfortune of being released a few decades too late . ,0
524,cloaks a familiar anti-feminist equation ( career - kids = misery ) in tiresome romantic-comedy duds . ,0
525,the good girl is a film in which the talent is undeniable but the results are underwhelming . ,0
526,just a collection of this and that -- whatever fills time -- with no unified whole . ,0
527,"the animation and game phenomenon that peaked about three years ago is actually dying a slow death , if the poor quality of pokemon 4 ever is any indication . ",0
528,only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm . ,0
529,"kids who are into this thornberry stuff will probably be in wedgie heaven . anyone else who may , for whatever reason , be thinking about going to see this movie is hereby given fair warning . ",0
530,mr . soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious . ,0
531,"do you say "" hi "" to your lover when you wake up in the morning ? ",0
532,it makes me feel weird / thinking about all the bad things in the world / like puppies with broken legs / and butterflies that die / and movies starring pop queens,0
533,"director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon , but showtime's uninspired send-up of tv cop show cliches mostly leaves him shooting blanks . ",0
534,banal and predictable . ,0
535,"'yes , that's right : it's forrest gump , angel of death . '",0
536,"a wildly erratic drama with sequences that make you wince in embarrassment and others , thanks to the actors , that are quite touching . ",0
537,"while easier to sit through than most of jaglom's self-conscious and gratingly irritating films , it's still tainted by cliches , painful improbability and murky points . ",0
538,"about as enjoyable , i would imagine , as searching for a quarter in a giant pile of elephant feces . . . positively dreadful . ",0
539,a generic international version of a typical american horror film . ,0
540," . . . while certainly clever in spots , this too-long , spoofy update of shakespeare's macbeth doesn't sustain a high enough level of invention . ",0
541,crikey indeed . ,0
542,"lucas has in fact come closer than anyone could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s . ",0
543,"there's a lot of good material here , but there's also a lot of redundancy and unsuccessful crudeness accompanying it . ",0
544,absurdities and clichés accumulate like lint in a fat man's navel . ,0
545,"if you think it's a riot to see rob schneider in a young woman's clothes , then you'll enjoy the hot chick . ",0
546,the sheer dumbness of the plot ( other than its one good idea ) and the movie's inescapable air of sleaziness get you down . ,0
547,strangely comes off as a kingdom more mild than wild . ,0
548,the next big thing's not-so-big ( and not-so-hot ) directorial debut . ,0
549,"yet another iteration of what's become one of the movies' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally "" superior "" friends , family . . . ",0
550,bond-inspired ? certainly . likely to have decades of life as a classic movie franchise ? let's hope not . ,0
551,this flat run at a hip-hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines . ,0
552,"davis has energy , but she doesn't bother to make her heroine's book sound convincing , the gender-war ideas original , or the comic scenes fly . ",0
553,"surprisingly , considering that baird is a former film editor , the movie is rather choppy . ",0
554,"none of this is very original , and it isn't particularly funny . ",0
555, . . . a bland murder-on-campus yawner . ,0
556,a humorless journey into a philosophical void . ,0
557,these two are generating about as much chemistry as an iraqi factory poised to receive a un inspector . ,0
558,"responsável direto pelo fracasso 'artístico' de doce lar , o roteirista c . jay cox não consegue sequer aproveitar os pouquíssimos momentos em que escapa da mediocridade . ",0
559,"just as the lousy tarantino imitations have subsided , here comes the first lousy guy ritchie imitation . ",0
560,"a passable romantic comedy , in need of another couple of passes through the word processor . ",0
561,"the movie attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific cliches isn't exactly endearing . ",0
562,"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's scarcely a surprise by the time it arrives . ",0
563,"in the book-on-tape market , the film of "" the kid stays in the picture "" would be an abridged edition",0
564,"ultimately . . . the movie is too heady for children , and too preachy for adults . ",0
565,it's just a little too self-satisfied . ,0
566,clever but not especially compelling . ,0
567,"mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service . ",0
568,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable . ",0
569,labute was more fun when his characters were torturing each other psychologically and talking about their genitals in public . ,0
570,the movie weighs no more than a glass of flat champagne . ,0
571,brisk hack job . ,0
572,the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher . ,0
573,alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks . ,0
574,the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material . ,0
575,what little grace [rifkin's] tale of precarious skid-row dignity achieves is pushed into the margins by predictable plotting and tiresome histrionics . ,0
576,tries to work in the same vein as the brilliance of animal house but instead comes closer to the failure of the third revenge of the nerds sequel . ,0
577,"unfortunately , kapur modernizes a . e . w . mason's story to suit the sensibilities of a young american , a decision that plucks "" the four feathers "" bare . ",0
578, . . . what a banal bore the preachy circuit turns out to be,0
579,"falsehoods pile up , undermining the movie's reality and stifling its creator's comic voice . ",0
580,a mechanical action-comedy whose seeming purpose is to market the charismatic jackie chan to even younger audiences . ,0
581,one of the most incoherent features in recent memory . ,0
582,low rent from frame one . ,0
583,eight legged freaks ? no big hairy deal . ,0
584,"the issues are presented in such a lousy way , complete with some of the year's ( unintentionally ) funniest moments , that it's impossible to care . ",0
585,laggard drama wending its way to an uninspired philosophical epiphany . ,0
586,the respective charms of sandra bullock and hugh grant have worn threadbare . ,0
587,'this movie sucks . ',0
588,"none of this so-called satire has any sting to it , as if woody is afraid of biting the hand that has finally , to some extent , warmed up to him . ",0
589, . . . bibbidy-bobbidi-bland . ,0
590,"a few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics aren't likely to enter the theater . ",0
591,"bad in such a bizarre way that it's almost worth seeing , if only to witness the crazy confluence of purpose and taste . ",0
592,there's more repetition than creativity throughout the movie . ,0
593,hugh grant's act is so consuming that sometimes it's difficult to tell who the other actors in the movie are . ,0
594,"although the sequel has all the outward elements of the original , the first film's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks . ",0
595,"i've had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama . ",0
596,what we get . . . is caddyshack crossed with the loyal order of raccoons . ,0
597,"the jokes are flat , and the action looks fake . ",0
598,"when a movie asks you to feel sorry for mick jagger's sex life , it already has one strike against it . ",0
599,there are now two signs that m . night shyamalan's debut feature sucked up all he has to give to the mystic genres of cinema : unbreakable and signs . ,0
600, . . . hokey art house pretension . ,0
601, . . . a weak and ineffective ghost story without a conclusion or pay off . ,0
602,gussied up with so many distracting special effects and visual party tricks that it's not clear whether we're supposed to shriek or laugh . ,0
603,"plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo . ",0
604,this is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life . ,0
605,"a baffling subplot involving smuggling drugs inside danish cows falls flat , and if you're going to alter the bard's ending , you'd better have a good alternative . ",0
606,"soderbergh seems capable only of delivering artfully lighted , earnest inquiries that lack the kind of genuine depth that would make them redeemable . ",0
607,the only thing that distinguishes a randall wallace film from any other is the fact that there is nothing distinguishing in a randall wallace film . ,0
608,"silly stuff , all mixed up together like a term paper from a kid who can't quite distinguish one sci-fi work from another . ",0
609,there is so much plodding sensitivity . ,0
610,"the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial . ",0
611, . . . too sappy for its own good . ,0
612,"circuit queens won't learn a thing , they'll be too busy cursing the film's strategically placed white sheets . ",0
613,"as an actress , madonna is one helluva singer . as the mediterranean sparkles , 'swept away' sinks . ",0
614,"every so often a film comes along that is so insanely stupid , so awful in so many ways that watching it leaves you giddy . half past dead is just such an achievement . ",0
615,"expanded to 65 minutes for theatrical release , it still feels somewhat unfinished . ",0
616,it all looks and plays like a $40 million version of a game you're more likely to enjoy on a computer . ,0
617,"[javier bardem is] one of the few reasons to watch the film , which director gerardo vera has drenched in swoony music and fever-pitched melodrama . ",0
618,"feels shrill , simple and soapy . ",0
619,"adults , other than the parents . . . will be hard pressed to succumb to the call of the wild . ",0
620,brady achieves the remarkable feat of squandering a topnotch foursome of actors . . . by shoving them into every clichéd white-trash situation imaginable . ,0
621,"in the name of an allegedly inspiring and easily marketable flick , the emperor's club turns a blind eye to the very history it pretends to teach . ",0
622,no amount of blood and disintegrating vampire cadavers can obscure this movie's lack of ideas . ,0
623,"a direct-to-void release , heading nowhere . ",0
624,"typical animé , with cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names . ",0
625,below is well below expectations . ,0
626,"at no point during k-19 : the widowmaker did this viewer feel enveloped in a story that , though meant to be universal in its themes of loyalty , courage and dedication to a common goal , never seems to leave the lot . ",0
627, . . . standard guns versus martial arts cliche with little new added . ,0
628,empire can't make up its mind whether it wants to be a gangster flick or an art film . it doesn't work as either . ,0
629,"given the fact that virtually no one is bound to show up at theatres for it , the project should have been made for the tube . ",0
630,"possession is in the end an honorable , interesting failure . it falls far short of poetry , but it's not bad prose . ",0
631,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films . ,0
632,"there may have been a good film in "" trouble every day , "" but it is not what is on the screen . ",0
633,"unfortunately , carvey's rubber-face routine is no match for the insipid script he has crafted with harris goldberg . ",0
634,"viewed as a comedy , a romance , a fairy tale , or a drama , there's nothing remotely triumphant about this motion picture . ",0
635,"there's something unintentionally comic in the film's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties . ",0
636,"the master of disguise is funny--not "" ha ha "" funny , "" dead circus performer "" funny . and for all the wrong reasons besides . ",0
637,"a zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking morlocks . ",0
638,"a 75-minute sample of puerile rubbish that is listless , witless , and devoid of anything resembling humor . ",0
639,you leave feeling like you've endured a long workout without your pulse ever racing . ,0
640,"the waterlogged script plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ",0
641,"with mcconaughey in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids , there's not enough intelligence , wit or innovation on the screen to attract and sustain an older crowd . ",0
642,it's the type of stunt the academy loves : a powerful political message stuffed into an otherwise mediocre film . ,0
643,"in theory , a middle-aged romance pairing clayburgh and tambor sounds promising , but in practice it's something else altogether -- clownish and offensive and nothing at all like real life . ",0
644,"so mind-numbingly awful that you hope britney won't do it one more time , as far as movies are concerned . ",0
645,"the images are usually abbreviated in favor of mushy obviousness and telegraphed pathos , particularly where whitaker's misfit artist is concerned . ",0
646,"if welles was unhappy at the prospect of the human race splitting in two , he probably wouldn't be too crazy with his great-grandson's movie splitting up in pretty much the same way . ",0
647,"sets animation back 30 years , musicals back 40 years and judaism back at least 50 . ",0
648,"weirdly , broomfield has compelling new material but he doesn't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car . ",0
649,might best be enjoyed as a daytime soaper . ,0
650,"eventually arrives at its heart , as simple self-reflection meditation . ",0
651,"a showcase for both the scenic splendor of the mountains and for legendary actor michel serrault , the film is less successful on other levels . ",0
652,"boy oh boy , it's a howler . ",0
653,a few pieces of the film buzz and whir ; very little of it actually clicks . the thing just never gets off the ground . ,0
654, . . . contains very few laughs and even less surprises . ,0
655,the actors must indeed be good to recite some of this laughable dialogue with a straight face . ,0
656,"most of the storylines feel like time fillers between surf shots . the movie isn't horrible , but you can see mediocre cresting on the next wave . ",0
657,"however stale the material , lawrence's delivery remains perfect ; his great gift is that he can actually trick you into thinking some of this worn-out , pandering palaver is actually funny . ",0
658,there's nothing remotely topical or sexy here . ,0
659,"the tuxedo wasn't just bad ; it was , as my friend david cross would call it , 'hungry-man portions of bad' . ",0
660,blue crush is so prolonged and boring it isn't even close to being the barn-burningly bad movie it promised it would be . ,0
661,the sequel plays out like a flimsy excuse to give blade fans another look at wesley snipes' iconic hero doing battle with dozens of bad guys -- at once . ,0
662,"while van wilder may not be the worst national lampoon film , it's far from being this generation's animal house . ",0
663,so devoid of pleasure or sensuality that it cannot even be dubbed hedonistic . ,0
664,reeks of rot and hack work from start to finish . ,0
665,an exhausting family drama about a porcelain empire and just as hard a flick as its subject matter . ,0
666,woody allen has really found his groove these days . the problem is that it is one that allows him to churn out one mediocre movie after another . ,0
667,"the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is . ",0
668,it's such a mechanical endeavor [that] it never bothers to question why somebody might devote time to see it . ,0
669,"the art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack . ",0
670," if the predictability of bland comfort food appeals to you , then the film is a pleasant enough dish . ",0
671,"ultimately , in the history of the academy , people may be wondering what all that jazz was about "" chicago "" in 2002 . zellweger's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a",0
672,a seriously bad film with seriously warped logic by writer-director kurt wimmer at the screenplay level . ,0
673,"a pleasant and engaging enough sit , but in trying to have the best of both worlds it ends up falling short as a whole . ",0
674,"its plot and animation offer daytime tv serviceability , but little more . ",0
675,"a tired , unimaginative and derivative variation of that already-shallow genre . ",0
676,"human nature , in short , isn't nearly as funny as it thinks it is ; neither is it as smart . ",0
677,a film with a great premise but only a great premise . ,0
678,instead of building to a laugh riot we are left with a handful of disparate funny moments of no real consequence . ,0
679,"kirshner and monroe seem to be in a contest to see who can out-bad-act the other . ( kirshner wins , but it's close . ) ",0
680,a lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her . ,0
681,"what started out as a taut contest of wills between bacon and theron , deteriorates into a protracted and borderline silly chase sequence . ",0
682,[sam's] self-flagellation is more depressing than entertaining . ,0
683,"an ugly , pointless , stupid movie . ",0
684,"simply put , there should have been a more compelling excuse to pair susan sarandon and goldie hawn . ",0
685,the master of disguise represents adam sandler's latest attempt to dumb down the universe . ,0
686,"this is an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be . ",0
687,too silly to take seriously . ,0
688,obvious,0
689,"the inevitable double- and triple-crosses arise , but the only drama is in waiting to hear how john malkovich's reedy consigliere will pronounce his next line . ",0
690,"everything's serious , poetic , earnest and -- sadly -- dull . ",0
